NATCODE,num_total,perc_bymiss
34053535001,1878,0.6389776357827476
34053535002,8552,1.1108512628624885
34053535003,3243,0.8017267961763799
34053535004,10267,0.3798577968247784
34053535005,744,3.629032258064516
34053535006,10314,1.6288539848749273
34053535007,499,0.8016032064128257
34053535008,3270,1.070336391437309
34053535009,7825,1.9169329073482428
34053535010,3541,4.744422479525558
34053535011,9222,1.6699197571025808
34053535012,3979,1.1812013068610203
34053535013,3985,1.656210790464241
34053535014,4617,1.0829542993285683
34053535015,2665,3.076923076923077
34053535016,41884,1.8766115939260817
34053535017,7810,1.971830985915493
34053535018,4135,2.7085852478839176
34053535019,7570,2.97225891677675
34053535020,3818,0.5762179151388162
34053535021,5612,1.7106200997861725
34053535022,12439,1.439022429455744
34053535023,5376,0.8742559523809523
34053535024,7093,1.3252502467221203
34053535025,1753,0.6845407872219053
34053535026,17939,1.6723340208484307
34053535027,5799,0.9656837385756164
34053535028,5018,0.4982064567556795
34053535029,2517,1.5494636471990464
34053535030,4817,0.5189952252439277
34053535031,3954,1.112797167425392
34053535032,2556,0.4694835680751174
34053535033,4434,0.8119079837618404
34053535034,2891,3.389830508474576
34053838001,5813,0.9461551694477894
34053838002,1025,1.170731707317073
34053838003,1065,0.3755868544600939
34053838004,3046,0.6565988181221274
34053838005,5660,2.7385159010600706
34053838006,9579,1.37801440651425
34053838007,1332,1.2012012012012012
34053838008,2897,0.6213324128408698
34053838009,1760,1.1363636363636365
34053838010,2690,1.3011152416356877
34053838011,5277,0.4169035436801213
34053838012,2021,1.2370113805047007
34053838013,2332,2.5728987993138936
34053838014,1311,0.5339435545385202
34053838015,2197,1.0013654984069185
34053838016,2047,0.0977039570102589
34053838017,8288,0.8566602316602316
34053838018,2280,0.4824561403508772
34053838019,6563,0.5942404388237087
34053838020,7619,1.6012600078750492
34053838021,1528,3.468586387434555
34053838022,9232,5.795060658578856
34053838023,31985,0.387681725808973
34053838024,6795,0.9124356144223694
34053838025,2718,2.501839587932303
34053838026,12651,1.5097620741443365
34053838027,4116,0.9961127308066084
34053838028,4272,0.9129213483146068
34053838029,1472,0.6114130434782609
34053838030,1679,0.5955926146515783
34053838031,9757,0.5841959618735267
34053838032,4662,3.0244530244530243
34053838033,2194,0.8204193254329991
34053838034,1916,0.3653444676409186
34053838035,3444,0.9291521486643438
34053838036,3060,2.1241830065359477
34053838037,3262,0.2452483139178418
34053838038,23759,0.3451323708910307
34053838039,3784,0.5813953488372093
34053838040,2144,3.824626865671642
34053838041,3124,0.8962868117797695
34053838042,2101,10.138029509757258
34053838043,8043,1.7033445231878652
34053838044,1478,2.300405953991881
34053838045,1486,0.6729475100942126
34053838046,3476,1.6973532796317607
34053838047,2169,0.6454587367450438
34053838048,3496,4.004576659038902
34053838049,2289,3.058103975535168
34053838050,3453,1.1004923255140455
34053838051,2918,1.8848526387936944
34053838052,1216,1.5625
34053838053,3256,0.2764127764127764
34053838901,1189,2.943650126156434
