year,buildings,neighbour_mean,ratio,is_spike
1900,25971,22.7,1145.8,True
1960,25143,2427.2,10.4,True
1970,25051,3928.2,6.4,True
1980,24907,5026.0,5.0,True
1950,16745,741.7,22.6,True
1975,14798,4333.7,3.4,True
1940,9058,373.7,24.2,True
1920,8354,106.5,78.4,True
1930,6529,267.0,24.5,True
1910,2102,68.8,30.5,True
1945,1903,525.8,3.6,True
1935,1261,379.0,3.3,True
1925,774,178.2,4.3,True
1915,338,69.2,4.9,True
1905,195,51.5,3.8,True
